                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9433,                0.69224,                0.98368,                0.89053,                0.78361,                0.90911,                0.57547,                0.86495,                0.79845,                0.97608,              0.0017756,              0.0017756,              0.0017756
                     37,                 0.9415,                0.67607,                0.98488,                0.89209,                0.77977,                0.91207,                 0.5798,                0.86036,                0.81121,                0.97607,               0.001769,               0.001769,               0.001769
                     38,                0.94663,                0.67608,                0.98512,                0.88537,                0.78129,                0.90064,                0.57925,                0.85077,                0.82816,                0.97056,              0.0017624,              0.0017624,              0.0017624
                     39,                0.91256,                0.67796,                0.96962,                0.89091,                0.78233,                0.90676,                0.58475,                0.84911,                0.81017,                0.97331,              0.0017558,              0.0017558,              0.0017558
                     40,                0.94378,                0.68676,                0.98489,                0.88262,                0.77721,                 0.9033,                0.59138,                  0.865,                0.82621,                0.98132,              0.0017492,              0.0017492,              0.0017492
                     41,                0.93778,                0.69656,                0.97341,                0.88648,                0.78993,                0.89746,                0.56202,                0.86156,                0.79109,                0.98564,              0.0017426,              0.0017426,              0.0017426
                     42,                0.93027,                0.67582,                0.96353,                0.87587,                0.79129,                0.91151,                0.59435,                0.85534,                0.80864,                0.98193,               0.001736,               0.001736,               0.001736
                     43,                0.92811,                0.68454,                0.97071,                0.86075,                0.77977,                0.90708,                0.58629,                0.83674,                0.80074,                0.97236,              0.0017294,              0.0017294,              0.0017294
                     44,                0.93206,                0.68955,                 0.9809,                0.89101,                0.77462,                0.90675,                0.58332,                0.85471,                0.81364,                0.97652,              0.0017228,              0.0017228,              0.0017228
                     45,                0.92324,                 0.6859,                0.97748,                0.86669,                0.77337,                0.90201,                0.57267,                0.87434,                0.86875,                0.97964,              0.0017162,              0.0017162,              0.0017162
                     46,                0.90057,                 0.6756,                0.96582,                0.89324,                0.78105,                0.91207,                0.59175,                0.80706,                0.80255,                0.97255,              0.0017096,              0.0017096,              0.0017096
                     47,                0.94488,                0.68091,                0.98273,                0.87204,                0.78105,                0.90321,                0.57462,                0.89945,                  0.835,                 0.9818,               0.001703,               0.001703,               0.001703
                     48,                0.93165,                0.68481,                0.97836,                0.88839,                0.78473,                0.91278,                0.57903,                0.88368,                0.78263,                0.97913,              0.0016964,              0.0016964,              0.0016964
                     49,                0.93757,                0.70308,                0.97908,                0.88849,                0.78553,                0.90792,                0.55902,                0.88937,                0.82262,                0.97606,              0.0016898,              0.0016898,              0.0016898
                     50,                0.92511,                0.68622,                0.97321,                0.88687,                0.78295,                 0.9133,                0.58682,                0.85381,                0.79989,                0.97208,              0.0016832,              0.0016832,              0.0016832
                     51,                0.90384,                 0.6711,                0.96411,                0.89238,                0.78489,                0.91653,                0.58012,                0.84406,                 0.8248,                 0.9709,              0.0016766,              0.0016766,              0.0016766
                     52,                0.92325,                0.67851,                0.96972,                0.88742,                0.77712,                0.91097,                0.60479,                0.81084,                0.78457,                0.96259,                0.00167,                0.00167,                0.00167
                     53,                 0.9241,                0.68029,                0.97389,                  0.888,                0.78172,                0.91261,                0.60071,                0.80931,                0.78615,                0.96547,              0.0016634,              0.0016634,              0.0016634
                     54,                0.92299,                 0.6594,                0.97336,                0.88777,                0.78489,                0.91488,                0.58953,                0.83524,                0.77136,                0.96729,              0.0016568,              0.0016568,              0.0016568
                     55,                0.91893,                0.67748,                0.97483,                0.88842,                0.78497,                0.91465,                0.58151,                 0.8594,                0.81517,                0.97506,              0.0016502,              0.0016502,              0.0016502
                     56,                0.91701,                0.68272,                0.97193,                0.89218,                0.78489,                0.91841,                0.60263,                0.83536,                 0.7807,                0.96668,              0.0016436,              0.0016436,              0.0016436
                     57,                0.90624,                0.67098,                0.97027,                0.88826,                0.77977,                0.91354,                0.58568,                0.86501,                0.80368,                0.98094,               0.001637,               0.001637,               0.001637
                     58,                 0.9162,                0.67461,                0.96772,                0.88795,                0.78233,                 0.9175,                 0.5929,                0.83886,                0.81492,                0.97084,              0.0016304,              0.0016304,              0.0016304
                     59,                0.89104,                0.67005,                0.96512,                0.89153,                0.77874,                0.91661,                0.59749,                0.87425,                0.77073,                0.97877,              0.0016238,              0.0016238,              0.0016238
                     60,                0.90366,                0.67913,                0.97178,                0.88429,                0.78361,                0.89978,                0.57098,                0.81107,                0.79314,                0.96583,              0.0016172,              0.0016172,              0.0016172
                     61,                0.90238,                0.67761,                0.96918,                0.88843,                0.78508,                0.91285,                0.59483,                0.81435,                 0.7469,                0.97271,              0.0016106,              0.0016106,              0.0016106
                     62,                 0.9222,                0.66538,                0.97521,                0.88705,                0.77849,                0.91115,                0.59141,                0.83993,                0.78353,                0.97189,               0.001604,               0.001604,               0.001604
